City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Kalmunai,20,LK,1554144375,78.08,4.41,7.42,81.82,91
Khandyga,0,RU,1554144375,2.84,2.51,62.65,135.58,64
Sivas,75,TR,1554141000,36,12.75,39.75,37.01,93
Lowestoft,0,GB,1554144370,46.4,5.82,52.48,1.75,81
Shimanovsk,0,RU,1554144376,14.09,6.35,52,127.67,55
Sabang,64,PH,1554144376,76.55,9.1,13.72,123.58,89
Bonthe,36,SL,1554144376,87.62,6.13,7.53,-12.5,68
Evensk,92,RU,1554144380,33.35,14.97,61.92,159.24,84
Hofn,75,IS,1554141600,35.6,3.36,64.25,-15.21,80
Safita,40,SY,1554144348,54,4.7,34.82,36.12,87
Yar-Sale,0,RU,1554144384,18.32,8.77,66.83,70.83,74
Salalah,20,OM,1554141000,80.6,6.93,17.01,54.1,69
Maputo,75,MZ,1554141600,80.6,13.87,-25.97,32.57,69
Elban,24,RU,1554144384,19.4,4.9,50.1,136.51,79
Hengyang,68,CN,1554144385,58.1,2.1,26.89,112.6,85
Aklavik,75,CA,1554141600,21.2,4.7,68.22,-135.01,85
Montrose,0,AU,1554144371,48.99,6.93,-37.81,145.34,87
Saint-Pierre,0,FR,1554144371,60.8,8.05,48.95,4.24,47
Talcahuano,0,CL,1554141600,66.2,10.29,-36.72,-73.12,59
Muswellbrook,100,AU,1554144005,62.01,6.8,-32.27,150.89,98
Birjand,90,IR,1554141600,66.2,18.34,32.86,59.22,33
Kinsale,75,IE,1554143400,48.2,10.29,51.71,-8.52,70
Billings,75,US,1554144302,48.99,5.82,45.79,-108.5,70
Liyang,0,CN,1554141600,50,4.47,31.42,119.48,76
Alekseyevsk,92,RU,1554144402,36.23,10.78,57.84,108.35,83
Conakry,40,GN,1554141600,86,11.41,9.52,-13.7,70
Arcachon,0,FR,1554144028,60.8,5.82,44.65,-1.18,67
Bathsheba,40,BB,1554141600,84.2,21.92,13.22,-59.52,62
Acapulco,5,MX,1554140760,82.4,9.17,16.86,-99.88,65
Ulan-Ude,20,RU,1554141600,26.6,2.24,51.84,107.58,68
Itoman,20,JP,1554141600,59,8.05,26.12,127.67,51
College,1,US,1554144323,37.99,3.36,64.86,-147.8,82
Mahon,75,IE,1554143400,48.2,10.29,51.89,-8.4,70
Faya,0,SA,1554141600,64.4,8.05,18.39,42.45,77
Laguna,75,MX,1554140400,84.2,10.29,27.52,-110.01,20
Tigre,0,AR,1554144304,84.99,5.82,-34.42,-58.58,74
Marzuq,0,YE,1554144407,63.95,3.62,14.4,46.47,61
Boda,0,BD,1554144407,64.49,6.31,26.2,88.56,89
Bushehr,92,IR,1554141600,69.8,11.41,28.97,50.84,60
Kayes,0,ML,1554144408,101.39,7.09,14.44,-11.44,22
Kandrian,20,PG,1554144408,75.47,2.73,-6.21,149.55,98
Petropavlovsk-Kamchatskiy,75,RU,1554141600,28.4,4.47,53.05,158.65,92
Bud,75,NO,1554144385,41,10.29,62.91,6.91,56
Llanes,12,ES,1554144365,59,1.77,43.42,-4.75,87
Sibolga,92,ID,1554144145,68.72,1.77,1.74,98.78,100
Majene,64,ID,1554144335,82.58,8.43,-3.54,118.97,98
